שם אגח,תשואה ברוטו,תשואה נטו,מחמ,חברה,דירוג 
דלק קב אגח טו,0.64,-1.34,0.59,קבוצת דלק, 
דלק קב אגח יג,1.72,0.47,3.06,קבוצת דלק,A
דלק קב אגח יד,1.2,-0.13,1.29,קבוצת דלק, 
דלק קב אגח יח,1.83,0.29,3.15,קבוצת דלק, 
דלק קב אגח יט,1.83,0.65,3.82,קבוצת דלק, 
דלק קב אגח כב,1.73,0.6,3.32,קבוצת דלק,A
דלק קב אגח לא,4.04,3.38,5.44,קבוצת דלק,A
דלק קידוחיםאגחא,3.78,2.62,4.36,דלק קידוחים, 
דלשה קפיטל אגחא,5.32,4.18,3.32,דלשה קפיטל, 
דלשה קפיטל אגחב,4.3,3.54,4.79,דלשה קפיטל, 
דלתא אגח א,2.92,2.22,5.25,דלתא, 
דלתא אגח ב,2.03,1.68,6.95,דלתא, 
דלתא אגח ה,1.42,0.33,2.62,דלתא, 
דמרי אגח ד,1.89,0.99,1.28,דמרי, 
דמרי אגח ה,2.15,1.58,2.08,דמרי, 
דמרי אגח ו,2.44,1.9,3.58,דמרי, 
דקסיה הנ אגח י,1.56,1.18,6.5,דקסיה,AA-
דקסיה הנ אגח יא,1.13,0.96,3.01,דקסיה,AA-
דקסיה הנ מסחרי1,0.43,0.1,0.21,דקסיה, 
דקסיה הנפ אגח ב,0.72,-0.48,2.19,דקסיה,AA-
דקסיה הנפ אגח ז,0.8,-0.17,3.24,דקסיה,AA-
דקסיה הנפ אגח ט,1.91,1.14,0.07,דקסיה,AA-
דקסיה הנפ נד יג,1.07,-0.19,1.77,דקסיה,A
דקסיה הנפ נד יד,1.49,0.82,3.43,דקסיה,A
דרבן אגח ד,1.6,0.2,2.22,דרבן, 
הוט אגח א,1.14,-0.12,1.32,הוט, 
הוט אגח ב,1.31,0.01,1.29,הוט, 
הכש חב בטוחאגח1,2.46,0.93,1.73,הכש החזקות, 
הכש חב בטוחאגח2,2.45,1.45,1.91,הכש החזקות, 
הכשרת ישוב אג02,3.31,2.47,4.88,הכש החזקות,A-
הכשרת ישוב אג12,0.54,-0.74,0.5,הכשרת הישוב,A-
הכשרת ישוב אג13,1.7,-0.3,0.64,הכשרת הישוב,A-
הכשרת ישוב אג14,1.16,0.37,0.96,הכשרת הישוב,A-
הכשרת ישוב אג15,1.98,1.25,1.68,הכשרת הישוב,A-
הכשרת ישוב אג16,1.49,0.09,1.74,הכשרת הישוב,A-
הכשרת ישוב אג17,1.29,0.01,2.42,הכשרת הישוב,A-
הכשרת ישוב אג18,3.05,2.18,2.82,הכשרת הישוב,A-
הכשרת ישוב אג91,3.61,2.98,4.56,הכשרת הישוב,A-
הלמןאלדובי אגחא,3.33,2.52,3.68,הלמן אלדובי, 
המשביר 365 אגחב,3.39,1.83,0.89,המשביר 365, 
המשביר 365 אגחד,5.42,4.22,3.09,המשביר 365, 
הפניקס אגח 1,0.97,-1.06,1.01,הפניקס,A+
הפניקס אגח 2,1.42,0.73,4.1,הפניקס, 
הראל הנפ אגח יא,3.85,3.19,8.73,הראל,AA-
הראל הנפ אגח יב,4,3.39,9.49,הראל,AA-
הראל הנפ אגח יג,4.1,3.48,10.09,הראל,AA-
הראל הנפק אגח א,0.8,-0.34,2.72,הראל,AA
הראל הנפק אגח ב,1.1,0.79,1.22,הראל,AA-
הראל הנפק אגח ג,0.9,0.61,2.18,הראל,AA-
הראל הנפק אגח ד,0.98,-0.03,3.05,הראל,AA-
הראל הנפק אגח ה,1.33,0.35,3.92,הראל,AA-
הראל הנפק אגח ו,1.61,0.67,5.59,הראל,AA-
הראל הנפק אגח ז,1.84,0.91,6.39,הראל,AA-
הראל הנפק אגח ח,1.52,0.8,4.88,הראל,AA-
הראל הנפק אגח ט,2.46,1.84,7.96,הראל,AA-
הראל הנפק אגח י,2.57,1.95,8.76,הראל,AA-
וואן טכנ אגח ג,1.78,1.26,2.84,וואן טכנולוגיה, 
וויי בוקס אגח א,4.92,4.15,3.5,וויי בוקס, 
וורטון אגח א,3.7,3.1,4.5,וורטון,AA-
וילאר אגח ד,0.89,-0.3,0.81,וילאר,AA
וילאר אגח ה,0.28,-0.48,0.98,וילאר,AA
וילאר אגח ו,1.08,0.22,2.88,וילאר,AA
וילאר אגח ז,1.95,1.28,4.37,וילאר,AA
וילאר אגח ח,2.92,2.52,6.41,וילאר,AA
ויקטורי אגח א,2.39,1.87,3.29,ויקטורי, 
ויתניה אגח ג,0.97,0,0.51,ויתניה, 
ויתניה אגח ד,3.3,2.7,4.68,ויתניה, 
חברה לישראלאגח7,1.6,0.43,2.41,חברה לישראל,A
חברה לישראלאגח9,0.72,-0.39,0.8,חברה לישראל,A
חברהלישראלאגח10,2.97,2.33,4.75,חברה לישראל,A
חברהלישראלאגח11,4.42,3.05,4.6,חברה לישראל,A
חג''ג'' אגח ז,5.19,4.38,3.88,חג'ג',BBB+
חג'ג' אגח ה,4.29,3.32,2.16,חג'ג',BBB+
חג'ג' אגח ו,4.02,2.99,2.14,חלל תקשורת,BBB+
חלל תקש אגח ו,3.13,2.43,3.94,חלל תקשורת, 
חלל תקש אגח ח,1.87,0.87,2.84,חלל תקשורת, 
חלל תקש אגח ט,4.02,3.08,1.63,חלל תקשורת, 
חלל תקש אגח טז,4.96,3.47,5.76,חלל תקשורת, 
חממה סחר אגח ג,2.14,0.77,1.36,חממה סחר, 
חנן מור אגח ד,6.03,0.21,0.23,חנן מור, 
חנן מור אגח ה,2.4,1.15,1.23,חנן מור, 
חנן מור אגח ו,3.99,3.03,3.21,חנן מור, 
חנן מור אגח ז,3.42,2.72,3.75,חנן מור, 
חשמל אגח 25,0.17,-0.72,0.33,חשמל, 
חשמל אגח 26,2.21,1.48,4.64,חשמל,AA
חשמל אגח 27,2.61,1.66,8.77,חשמל,AA
טאואר אגח ז,2.59,2.1,4.22,טאואר,A
טלדור אגח ב,11.26,-1.48,0.05,טלדור,A-
טמפו משק אגח א,1.49,0.68,1.91,טמפו משקעות, 
טמפו משק אגח ב,2.33,1.84,4.02,טמפו משקעות, 
טן דלק אגח ב,1.68,-0.42,0.31,טן דלק,BBB+
טן דלק אגח ג,1.97,1.21,2.4,טן דלק,BBB+
יו.טי.אס אגח ו,11.73,-9.33,0.03,יו טי אס,A
יו.טי.אס אגח ח,2.85,2.33,3.09,יו טי אס,A
יו.טי.אס אגח ט,2.46,1.77,3.13,יו טי אס,A
יו.טי.אס מסחרי4,1.74,1.74,0.28,יו טי אס, 
יואל אגח 3,1.27,0.56,0.34,יואל,AA-
יוניטרוניק אגח4,2.41,1.03,1.83,יוניטרוניקס, 
יוניטרוניק אגח5,2.99,2.17,4.13,יוניטרוניקס, 
ירושליםהנ אגחיד,1.21,0.95,2.43,ירושלים,A-
ירושליםהנפ אגחח,1.07,0.85,1.47,ירושלים,A+
ירושליםהנפ אגחט,0.75,0.24,2.77,ירושלים,A+
ירושליםהנפ הת ג,3.92,-2.15,0.16,ירושלים,A-
ירושליםהנפ נד10,1.28,0.65,3.19,ירושלים,A-
ישפרו אגח ב,1.23,-0.13,2.22,ישפרו,A
ישראל קנדה אגחג,2.82,0.3,0.65,ישראל קנדה, 
ישראל קנדה אגחה,4.63,3.92,3.8,ישראל קנדה, 
ישרוטל אגח א,2.16,1.76,4.74,ישרוטל, 
ישרס אגח ו,3.75,-0.37,0.15,ישרס,AA-
ישרס אגח טו,1.96,1.52,6.85,ישרס,AA-
ישרס אגח יא,1.32,0.22,1.74,ישרס,AA-
ישרס אגח יג,2.02,1.14,4.18,ישרס,AA-
ישרס אגח יד,3.35,2.62,5.46,ישרס,AA-
כיל אגח ה,2.62,2.21,5.16,כיל,AA
כלכלית ים אגח ו,1.2,-0.38,0.81,כלכלית ירושלים, 
כלכלית ים אגח ט,1.09,-0.77,0.65,כלכלית ירושלים, 
כלכלית ים אגח י,1.89,0.28,3.14,כלכלית ירושלים, 
כלכלית ים אגחיא,1.46,0.9,1.21,כלכלית ירושלים, 
כלכלית ים אגחיב,2.69,1.48,4.43,כלכלית ירושלים, 
כלכלית ים אגחיג,2.86,2.07,3.51,כלכלית ירושלים, 
כלכלית ים אגחיד,2.39,1.75,7.19,כלכלית ירושלים, 
