23616,0,101400,175874,91967,61633,44763,4169,10657,24854,5133,3966
65886,0,36314,269209,42077,47274,32646,1988,1501,4505,2244,2419
8542,0,43329,159714,15357,40292,29473,467,1370,23701,1071,4747
6573,0,2380,4908,1059,934,580,34,138,168,39,22
6574,0,4299,11496,7254,1618,2773,921,309,535,518,228
162699,0,199180,432986,218549,395985,67408,16315,21219,82188,5703,6211
180193,0,636919,1382434,279792,675840,253821,16104,47207,148277,21223,21026
61745,0,439171,551508,117248,388464,743312,7034,8354,1123750,53523,1196195
27760,0,50,839,0,8,0,0,0,0,0,0
28180,0,14730,26973,1222,8657,1701,24,227,1182,25,64
12065,0,3771,36256,1074,19610,0,0,10,0,0,0
66504,0,815234,1965572,1350234,1009313,1097149,204386,207827,690056,334162,350467
144435,0,5632,22165,3154,2572,963,128,117,159,41,15
7696,0,20313,36539,20241,8106,12250,3006,1068,3914,2920,3430
143357,0,18969,23439,2989,8099,874,19,111,241,14,11
28749,0,83674,137647,27068,94419,1696,565,305,1487,119,262
111940,0,718938,1422467,2675907,648471,2259363,809471,303642,1069606,1193939,1955887
126600,0,401,4423,77,251,0,0,3,0,0,0
28216,0,534396,1351285,295819,641122,291588,18460,46271,162908,26649,34309
28742,0,662,4134,1866,126,611,362,50,57,177,80
25946,0,43783,51692,7229,20747,18156,141,1869,14159,910,3443
3835,0,260,1187,367,42,78,32,3,5,5,1
63866,0,87356,139459,505951,31973,759984,589018,32393,272321,842671,2502886
10884,0,2347,5309,1106,395,226,33,30,20,9,2
151544,0,792598,1178471,2869708,495517,2100989,1345639,342892,1052666,1573630,1946866
179428,0,120762,237912,429146,58882,857010,506784,40500,339736,658973,2279061
155394,0,168,483,67,0,13,2,1,1,0,0
155393,0,43942,130404,396681,42454,260327,220008,15610,83792,201701,322477
4036,0,2255,8703,1646,501,310,32,13,20,9,1
1228,0,166,578,0,14,0,0,0,0,0,0
25462,0,22972,96651,17772,15491,10038,608,1606,5427,477,572
60902,0,1176,8826,2336,1685,451,255,15,92,80,223
60900,0,13977,64763,30288,8644,11690,4703,1169,3196,2458,1815
177256,0,231,3213,0,112,25,0,0,8,0,0
177257,0,241231,265571,266875,98606,176090,19707,20738,70919,27389,30885
177255,0,99881,386942,79707,89907,39743,4267,3540,6466,3397,1835
161040,0,22523,38919,5735,7843,2133,179,220,415,76,80
12377,0,22,382,0,3,0,0,0,0,0,0
184442,0,85745,183365,389655,73713,298462,120595,15712,93770,147736,295323
11371,0,12216,114211,1169,21137,2538,5,69,1656,12,41
11372,0,5903,11997,0,8156,34,0,0,25,0,0
179925,0,49459,80545,4034,15370,5844,93,1122,2303,172,152
24708,0,76153,137541,61609,38273,36682,5439,3729,10307,5380,4690
4842,0,42385,156809,19611,12329,20976,2378,4179,6426,2132,1158
7525,0,209548,871508,909908,191478,183732,139539,24555,45207,40029,25797
5667,0,98665,212814,75453,101740,69407,5946,10076,33663,8258,9903
160888,0,143572,219347,38548,62980,103667,2878,8281,55479,9280,26968
25056,0,9214,31007,17449,3941,6324,1517,429,1086,984,527
16668,0,93714,378925,27669,112354,18282,434,2556,7614,390,313
25726,0,2790,8411,5197,935,1913,272,423,585,202,157
30861,0,3968,13971,3360,2057,2497,332,152,989,581,1119
12711,0,166814,257601,235289,85806,936090,94783,24280,443923,340548,2267952
141339,0,12838,48513,9681,6938,6642,381,1053,1552,496,380
5526,0,208865,240034,11779,127244,4119,84,1474,1949,40,15
12719,0,641,22039,20,2177,375,0,12,114,4,5
184500,0,136541,268282,21837,143159,10510,367,1006,4122,306,321
16957,0,320856,801819,3512910,344557,1870918,2662203,291959,1050277,1868767,2873229
6781,0,225738,359107,196804,147705,138354,15998,11149,122392,12688,48800
64708,0,65397,98857,20817,148319,3579,289,892,3273,127,62
23877,0,43600,194675,49777,23746,15531,2204,1150,4062,571,766
13619,0,85605,155491,1212960,115730,541972,1542556,35945,736341,843121,2087376
64383,0,308,6040,114,184,51,4,0,10,0,0
6788,0,155949,270438,99438,111216,150649,10704,9302,114234,24426,69226
185006,0,22696,14672,2414,19187,349,8,4,222,3,1
4723,0,742018,1493288,2805186,686778,2296022,713018,286740,1157008,989134,1892868
65643,0,104504,209794,198208,39136,198061,47394,16006,60185,68978,91973
65640,0,809652,1699996,2570005,902634,466843,309428,151158,245841,112377,56850
120048,0,15440,94034,38549,12819,4074,2397,1039,711,426,100
177674,0,4513,17098,105,3310,268,0,22,168,1,1
62919,0,589905,1282409,225187,589056,147012,10496,47271,128967,7994,9724
177677,0,2245,75187,1706,22016,1215,38,252,157,22,23
118577,0,254163,549320,231397,629444,154036,22004,23895,205612,20746,34200
5918,0,51869,138614,42641,49397,35126,3060,4288,18166,3067,4042
165832,0,114,511,33,26,18,0,0,1,0,0
3203,0,529,1271,84,36,61,0,4,6,1,0
21118,0,219935,544963,134567,637783,115314,8311,27655,188797,12573,22519
65872,0,95869,232206,408139,78577,786065,361084,33633,344150,587528,2368488
177108,0,1722,11875,540,983,578,16,3,56,20,7
177109,0,1559,2301,126,584,143,0,8,101,3,4
148313,0,5079,22294,7769,2466,4362,1686,240,833,1679,1775
25921,0,5517,24662,5112,3392,2803,279,163,825,227,269
16716,0,93353,1002953,101349,106780,218205,18261,8074,52233,27205,40453
25430,0,25571,70151,30493,24064,6697,1611,547,2992,439,229
16714,0,1072668,2083002,1946365,1210177,1109718,408665,249859,847948,362272,353616
25434,0,18910,29660,31509,10158,4141,2375,777,1323,417,121
16710,0,232734,241420,541630,82075,211190,97161,35878,70636,74592,54714
25124,0,12267,41355,37231,5356,4924,3036,334,393,613,256
10466,0,128268,234787,182451,49253,128921,33552,16494,45705,25366,21473
2271,0,64,448,74,32,0,0,1,0,0,0
2270,0,35328,119922,15359,41424,12591,923,1035,8296,843,924
155174,0,95257,499126,364252,77730,134343,89232,14185,21538,49255,31144
10801,0,103844,167687,49956,97293,31789,2061,5326,23427,2235,3075
120134,0,158128,225419,430114,61637,151590,89705,20323,36145,59287,35353
65796,0,595705,1044158,2886000,548580,2244690,1034308,287792,1245754,1219310,2370409
63907,0,11882,65561,13100,7310,1989,1155,59,462,218,360
166230,0,2052,10980,1297,375,985,154,75,116,89,44
9248,0,24786,41162,84501,8830,53688,28862,5723,14882,32992,30766
65467,0,470719,924733,3044298,515980,2177802,1381893,255027,889160,1646410,2608137
133871,0,99332,171439,406541,48542,810758,390482,31243,336435,709222,2406209
63057,0,119945,215499,191298,39836,106043,32327,12734,23848,30689,21050
9538,0,1965,9098,1429,988,383,16,30,42,5,3
141846,0,43220,88681,521680,25126,588580,766112,29883,238274,804181,2664307
